Epoch: [0][0/2351]	 lr:0.01000	Time 3.932 (3.932)	Loss 8.4213 (8.4213)	Prec@1 0.000 (0.000)	
Epoch: [0][10/2351]	 lr:0.01000	Time 0.417 (0.736)	Loss 1.0139 (1.6934)	Prec@1 71.875 (69.318)	
Epoch: [0][20/2351]	 lr:0.01000	Time 0.418 (0.584)	Loss 0.2074 (1.1542)	Prec@1 84.375 (75.298)	
Epoch: [0][30/2351]	 lr:0.01000	Time 0.416 (0.530)	Loss 0.3265 (0.8283)	Prec@1 78.125 (79.133)	
Epoch: [0][40/2351]	 lr:0.01000	Time 0.416 (0.502)	Loss 0.0442 (0.6493)	Prec@1 87.500 (80.716)	
Epoch: [0][50/2351]	 lr:0.01000	Time 0.417 (0.485)	Loss 0.0294 (0.5442)	Prec@1 93.750 (81.679)	
Epoch: [0][60/2351]	 lr:0.01000	Time 0.417 (0.474)	Loss 0.0353 (0.4731)	Prec@1 96.875 (82.070)	
Epoch: [0][70/2351]	 lr:0.01000	Time 0.417 (0.466)	Loss 0.0470 (0.4280)	Prec@1 90.625 (82.702)	
Epoch: [0][80/2351]	 lr:0.01000	Time 0.417 (0.460)	Loss 0.0790 (0.3855)	Prec@1 93.750 (83.603)	
Epoch: [0][90/2351]	 lr:0.01000	Time 0.418 (0.455)	Loss 0.1008 (0.3531)	Prec@1 81.250 (83.997)	
Epoch: [0][100/2351]	 lr:0.01000	Time 0.418 (0.452)	Loss 0.0494 (0.3276)	Prec@1 96.875 (84.592)	
Epoch: [0][110/2351]	 lr:0.01000	Time 0.417 (0.448)	Loss 0.0453 (0.3070)	Prec@1 93.750 (84.544)	
Epoch: [0][120/2351]	 lr:0.01000	Time 0.417 (0.446)	Loss 0.0519 (0.2894)	Prec@1 96.875 (84.685)	
Epoch: [0][130/2351]	 lr:0.01000	Time 0.417 (0.444)	Loss 0.2695 (0.2863)	Prec@1 56.250 (84.327)	
Epoch: [0][140/2351]	 lr:0.01000	Time 0.417 (0.442)	Loss 0.1486 (0.2919)	Prec@1 78.125 (84.153)	
Epoch: [0][150/2351]	 lr:0.01000	Time 0.417 (0.440)	Loss 0.0480 (0.2824)	Prec@1 96.875 (84.127)	
Epoch: [0][160/2351]	 lr:0.01000	Time 0.417 (0.439)	Loss 0.1256 (0.2713)	Prec@1 75.000 (84.142)	
Epoch: [0][170/2351]	 lr:0.01000	Time 0.417 (0.438)	Loss 0.1009 (0.2606)	Prec@1 84.375 (84.302)	
Epoch: [0][180/2351]	 lr:0.01000	Time 0.417 (0.436)	Loss 0.0858 (0.2508)	Prec@1 90.625 (84.479)	
Epoch: [0][190/2351]	 lr:0.01000	Time 0.417 (0.435)	Loss 0.1286 (0.2417)	Prec@1 75.000 (84.620)	
Epoch: [0][200/2351]	 lr:0.01000	Time 0.417 (0.434)	Loss 0.0506 (0.2340)	Prec@1 90.625 (84.810)	
Epoch: [0][210/2351]	 lr:0.01000	Time 0.417 (0.434)	Loss 0.0764 (0.2281)	Prec@1 81.250 (84.967)	
