Epoch: [0][0/2351]	 lr:0.01000	Time 1.012 (1.012)	Loss 0.0863 (0.0863)	Prec@1 56.250 (56.250)	
Epoch: [0][10/2351]	 lr:0.01000	Time 0.100 (0.180)	Loss 0.0869 (0.0721)	Prec@1 78.125 (71.023)	
Epoch: [0][20/2351]	 lr:0.01000	Time 0.100 (0.141)	Loss 0.0524 (0.0679)	Prec@1 84.375 (76.042)	
Epoch: [0][30/2351]	 lr:0.01000	Time 0.100 (0.128)	Loss 0.0468 (0.0657)	Prec@1 84.375 (77.621)	
Epoch: [0][40/2351]	 lr:0.01000	Time 0.110 (0.121)	Loss 0.0505 (0.0615)	Prec@1 78.125 (80.030)	
Epoch: [0][50/2351]	 lr:0.01000	Time 0.099 (0.117)	Loss 0.0379 (0.0585)	Prec@1 90.625 (81.373)	
Epoch: [0][60/2351]	 lr:0.01000	Time 0.102 (0.114)	Loss 0.0527 (0.0549)	Prec@1 75.000 (82.428)	
Epoch: [0][70/2351]	 lr:0.01000	Time 0.100 (0.112)	Loss 0.0519 (0.0539)	Prec@1 81.250 (82.790)	
Epoch: [0][80/2351]	 lr:0.01000	Time 0.100 (0.110)	Loss 0.0448 (0.0535)	Prec@1 84.375 (83.140)	
Epoch: [0][90/2351]	 lr:0.01000	Time 0.096 (0.109)	Loss 0.0562 (0.0521)	Prec@1 87.500 (83.688)	
Epoch: [0][100/2351]	 lr:0.01000	Time 0.100 (0.108)	Loss 0.0377 (0.0520)	Prec@1 90.625 (83.911)	
Epoch: [0][110/2351]	 lr:0.01000	Time 0.100 (0.107)	Loss 0.0314 (0.0515)	Prec@1 93.750 (83.953)	
Epoch: [0][120/2351]	 lr:0.01000	Time 0.100 (0.107)	Loss 0.0433 (0.0509)	Prec@1 87.500 (84.194)	
Epoch: [0][130/2351]	 lr:0.01000	Time 0.101 (0.106)	Loss 0.0333 (0.0502)	Prec@1 90.625 (84.637)	
Epoch: [0][140/2351]	 lr:0.01000	Time 0.100 (0.106)	Loss 0.0282 (0.0493)	Prec@1 93.750 (84.885)	
Epoch: [0][150/2351]	 lr:0.01000	Time 0.100 (0.105)	Loss 0.0560 (0.0499)	Prec@1 78.125 (84.685)	
Epoch: [0][160/2351]	 lr:0.01000	Time 0.100 (0.105)	Loss 0.0585 (0.0495)	Prec@1 87.500 (84.783)	
Epoch: [0][170/2351]	 lr:0.01000	Time 0.100 (0.105)	Loss 0.0374 (0.0487)	Prec@1 90.625 (84.905)	
Epoch: [0][180/2351]	 lr:0.01000	Time 0.099 (0.104)	Loss 0.0435 (0.0483)	Prec@1 87.500 (85.152)	
Epoch: [0][190/2351]	 lr:0.01000	Time 0.100 (0.104)	Loss 0.0156 (0.0480)	Prec@1 93.750 (85.193)	
Epoch: [0][200/2351]	 lr:0.01000	Time 0.100 (0.104)	Loss 0.0235 (0.0478)	Prec@1 93.750 (85.137)	
Epoch: [0][210/2351]	 lr:0.01000	Time 0.100 (0.104)	Loss 0.0466 (0.0477)	Prec@1 84.375 (85.071)	
Epoch: [0][220/2351]	 lr:0.01000	Time 0.100 (0.104)	Loss 0.0305 (0.0475)	Prec@1 87.500 (85.124)	
Epoch: [0][230/2351]	 lr:0.01000	Time 0.100 (0.103)	Loss 0.0300 (0.0466)	Prec@1 96.875 (85.376)	
Epoch: [0][240/2351]	 lr:0.01000	Time 0.100 (0.103)	Loss 0.0370 (0.0462)	Prec@1 90.625 (85.529)	
Epoch: [0][250/2351]	 lr:0.01000	Time 0.100 (0.103)	Loss 0.0469 (0.0463)	Prec@1 87.500 (85.483)	
Epoch: [0][260/2351]	 lr:0.01000	Time 0.100 (0.103)	Loss 0.0495 (0.0460)	Prec@1 78.125 (85.560)	
Epoch: [0][270/2351]	 lr:0.01000	Time 0.100 (0.103)	Loss 0.0529 (0.0461)	Prec@1 75.000 (85.528)	
Epoch: [0][280/2351]	 lr:0.01000	Time 0.100 (0.103)	Loss 0.0208 (0.0458)	Prec@1 96.875 (85.698)	
Epoch: [0][290/2351]	 lr:0.01000	Time 0.100 (0.103)	Loss 0.0301 (0.0456)	Prec@1 87.500 (85.803)	
Epoch: [0][300/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0234 (0.0453)	Prec@1 93.750 (85.932)	
Epoch: [0][310/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0319 (0.0454)	Prec@1 90.625 (85.963)	
Epoch: [0][320/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0448 (0.0456)	Prec@1 84.375 (85.913)	
Epoch: [0][330/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0488 (0.0456)	Prec@1 78.125 (85.876)	
Epoch: [0][340/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0234 (0.0450)	Prec@1 93.750 (86.089)	
Epoch: [0][350/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0398 (0.0449)	Prec@1 84.375 (86.165)	
Epoch: [0][360/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0235 (0.0445)	Prec@1 90.625 (86.227)	
Epoch: [0][370/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0504 (0.0445)	Prec@1 81.250 (86.211)	
Epoch: [0][380/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0358 (0.0443)	Prec@1 90.625 (86.286)	
Epoch: [0][390/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0373 (0.0444)	Prec@1 87.500 (86.277)	
Epoch: [0][400/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0437 (0.0441)	Prec@1 81.250 (86.347)	
Epoch: [0][410/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0539 (0.0439)	Prec@1 71.875 (86.367)	
Epoch: [0][420/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0339 (0.0440)	Prec@1 90.625 (86.401)	
Epoch: [0][430/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0820 (0.0439)	Prec@1 81.250 (86.405)	
Epoch: [0][440/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0160 (0.0436)	Prec@1 93.750 (86.480)	
Epoch: [0][450/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0681 (0.0435)	Prec@1 90.625 (86.523)	
Epoch: [0][460/2351]	 lr:0.01000	Time 0.100 (0.102)	Loss 0.0298 (0.0432)	Prec@1 96.875 (86.693)	
Epoch: [0][470/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0318 (0.0432)	Prec@1 93.750 (86.737)	
Epoch: [0][480/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0295 (0.0429)	Prec@1 90.625 (86.831)	
Epoch: [0][490/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0323 (0.0427)	Prec@1 87.500 (86.895)	
